user_id,provider_id,count
850,20834,2
862,20834,2
889,479,1
889,22951,1
889,68048,2
889,68875,2
889,116840,1
889,137666,1
889,148897,2
889,154488,1
889,161492,1
889,167059,1
889,168767,1
889,172121,1
889,173541,1
899,148705,1
906,83493,1
918,37366,1
918,131890,1
947,41729,1
947,175813,1
959,165291,1
963,46107,1
977,171548,1
984,104257,1
984,115453,1
984,119802,1
984,128681,1
984,132063,1
984,149748,1
984,149864,1
984,152549,1
984,153472,1
984,160437,1
984,177578,1
1002,82752,1
1017,173854,1
1030,30969,1
1030,112319,1
1030,131322,1
1030,160701,1
1034,25196,1
1034,139445,1
1037,154992,1
1074,32097,1
1074,78887,1
1074,89916,1
1074,154085,1
1091,60792,1
1091,125785,1
1092,121403,1
1092,176901,1
1093,177271,1
1177,145111,1
1177,157792,1
1177,177195,1
1186,115964,1
1208,57009,1
1208,57055,1
1208,129405,1
1208,132405,1
1214,168804,1
1233,144503,1
1233,170498,1
1254,36025,1
1254,49949,1
1254,61362,1
1254,64134,1
1254,65196,1
1254,65662,1
1254,67777,1
1254,71307,2
1254,72522,1
1254,108515,1
1308,15693,1
1308,132700,1
1308,172039,1
1308,172301,1
1380,118279,1
1380,125953,1
1430,175304,1
1431,171728,1
1442,161307,1
1442,170391,1
1456,49048,1
1456,162862,1
1463,8193,1
1463,52533,1
1463,107579,1
1463,107931,1
1463,109812,1
1463,113446,2
1463,130784,1
1463,132718,1
1463,139630,1
1463,142519,1
1463,148295,1
1463,154099,1
1463,156896,1
1472,55649,1
1472,57503,1
1472,58951,1
1472,65196,1
1472,65662,1
1472,77909,2
1472,92096,1
1472,126517,1
1472,172990,1
1492,124390,1
1500,22610,1
1500,170557,1
1506,117835,1
1506,123987,1
1506,171835,1
1533,137414,1
1569,40881,1
1569,175351,1
1579,167748,1
1586,176890,1
1635,1378,1
1635,28382,1
1635,135610,1
1635,137405,1
1635,144588,1
1635,153860,1
1635,173086,1
1635,174303,1
1685,125729,1
1685,141754,1
1699,170809,1
1718,89803,1
1718,90256,1
1718,90355,1
1718,148488,2
1718,164588,1
1718,173530,1
1722,15826,1
1722,21567,1
1722,60355,1
1722,76789,1
1722,101000,1
1722,101004,1
1722,129367,1
1722,134587,1
1722,135387,1
1722,150464,1
1722,157760,1
1722,164607,1
1722,173870,1
1731,71746,1
1791,21153,1
1791,129346,1
1791,148560,1
1815,132375,1
1827,79902,1
1886,24186,1
1886,39314,1
1886,140924,1
1886,158136,1
1886,159892,1
1886,170740,2
1886,173150,1
1886,175810,1
1947,38861,1
1960,147379,1
1960,154173,1
1967,105413,1
2035,95478,1
2035,106386,1
2035,154962,1
2035,168791,1
2035,177047,1
2045,27361,1
2056,173438,1
2065,118392,1
2065,122300,1
2065,131488,1
2123,152543,1
2146,70774,1
2146,87588,1
2146,117164,1
2146,127135,1
2146,171506,1
2162,4732,1
2162,7716,1
2162,8033,1
2162,34993,1
2162,53193,1
2162,65995,1
2162,79173,1
2162,89538,1
2162,105499,1
2162,115342,1
2162,127319,1
2162,137424,1
2162,144485,2
2162,155512,1
2162,169386,1
2162,169717,1
2190,126290,1
2190,137470,1
2190,158012,1
2190,169520,1
2231,84426,5
2276,111666,1
2276,113568,1
2276,115654,2
2276,118144,1
2276,122941,1
2276,128493,1
2276,148111,1
2276,160477,1
2315,39752,1
2315,135247,1
2315,167492,1
2318,22005,1
2318,51776,1
2336,91372,1
2336,96031,1
2336,152671,1
2336,171148,1
2337,118809,1
2381,135315,1
2389,102375,1
2389,122887,3
2389,126749,1
2389,132804,1
2389,134639,1
2389,140416,1
2389,174709,2
2424,149302,1
2432,129588,1
2432,150375,1
2445,162169,1
2466,44534,2
2466,55436,1
2466,110049,1
2466,163383,2
2466,163394,1
2466,163835,2
2466,165317,1
2466,170633,2
2473,91118,1
2473,163616,1
2477,83395,1
2477,175311,1
2480,126766,1
2480,165180,1
2493,42760,2
2493,53261,1
2493,80601,1
2493,96031,2
2493,100944,1
2493,165228,1
2493,171065,1
2493,173211,1
2507,61004,1
2507,63647,1
2507,121321,1
2507,151108,1
2507,164777,1
2516,6139,1
2516,28265,1
2516,29743,1
2516,49985,1
2516,148124,1
2516,150373,1
2516,169883,1
2516,175607,1
2599,106463,1
2604,100498,1
2604,175612,1
2626,110255,1
2626,137435,1
2628,148990,1
2628,149851,1
2628,159395,1
2638,36217,1
2638,57247,1
2638,63055,1
2638,140880,1
2638,158088,1
2652,71349,1
2652,72984,1
2652,109350,1
2652,119495,1
2652,129829,1
2652,135019,1
2652,153533,1
2652,168219,1
2689,156403,1
2690,74320,1
2690,105810,1
2690,151198,1
2692,53420,1
2693,32107,1
2693,58011,1
2693,90623,1
2693,120168,1
2693,143711,1
2697,50733,1
2697,174593,1
2702,117124,1
2706,61056,1
2727,21153,1
2727,79917,1
2727,106803,1
2727,130257,1
2727,134333,1
2727,163907,1
2727,165665,1
2727,172732,1
2727,174633,1
2727,175807,1
2731,159130,1
2739,57055,1
2739,63112,1
2742,141719,1
2744,72615,1
2744,77015,1
2744,111309,1
2744,131836,1
2744,141399,1
2744,143131,1
2744,165302,1
2744,169046,1
2744,178534,1
2758,1086,1
2758,114918,1
2758,121277,1
2758,130971,1
2758,144485,1
2844,162710,1
2844,171651,1
